type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,5,10,1,8,1,0.98,70.0,2.0,0.0,126.0,0.38374757766723633
0,5,11,1,8,1,0.975,74.0,2.0,1.0,121.0,0.41248559951782227
0,5,12,1,8,1,0.98,64.0,0.0,2.0,132.0,0.3940587043762207
0,5,13,1,8,1,0.98,72.0,1.0,1.0,124.0,0.4730215072631836
0,5,14,1,8,1,0.98,67.0,1.0,1.0,129.0,0.4568474292755127
0,5,15,1,8,1,0.975,78.0,1.0,2.0,117.0,0.6316845417022705
0,5,16,1,8,1,0.98,63.0,2.0,0.0,133.0,0.5276358127593994
0,5,17,1,8,1,0.975,61.0,3.0,0.0,134.0,0.4260857105255127
0,5,18,1,8,1,0.98,68.0,2.0,0.0,128.0,0.4102480411529541
0,5,19,1,8,1,0.98,69.0,0.0,2.0,127.0,0.432966947555542
0,5,20,1,8,1,0.985,67.0,1.0,0.0,130.0,0.46399927139282227
0,5,21,1,8,1,0.98,74.0,0.0,2.0,122.0,0.5330100059509277
0,5,22,1,8,1,0.985,69.0,1.0,0.0,128.0,0.5950019359588623
0,5,23,1,8,1,0.98,77.0,1.0,1.0,119.0,0.49236130714416504
0,5,24,1,8,1,0.985,62.0,1.0,0.0,135.0,0.4340379238128662
0,6,0,1,9,1,0.985,13.0,1.0,0.0,184.0,0.39725804328918457
0,6,1,1,9,1,0.985,10.0,1.0,0.0,187.0,0.4007585048675537
0,6,2,1,9,1,0.98,14.0,1.0,1.0,182.0,0.4211099147796631
0,6,3,1,9,1,0.98,15.0,0.0,2.0,181.0,0.39981508255004883
0,6,4,1,9,1,0.985,8.0,1.0,0.0,189.0,0.4198620319366455
0,6,5,1,9,1,0.965,16.0,2.0,3.0,177.0,0.37799835205078125
0,6,6,1,9,1,0.98,19.0,1.0,1.0,177.0,0.4419083595275879
0,6,7,1,9,1,0.98,14.0,2.0,0.0,182.0,0.4518561363220215
0,6,8,1,9,1,0.985,22.0,1.0,0.0,175.0,0.40078234672546387
0,6,9,1,9,1,0.985,13.0,1.0,0.0,184.0,0.4303421974182129
