type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,6,13,1,9,1,0.985,137.0,1.0,0.0,60.0
0,6,14,1,9,1,0.985,140.0,0.0,1.0,57.0
0,6,15,1,9,1,0.97,136.0,1.0,3.0,58.0
0,6,16,1,9,1,0.98,132.0,1.0,1.0,64.0
0,6,17,1,9,1,0.975,141.0,2.0,1.0,54.0
0,6,18,1,9,1,0.985,130.0,1.0,0.0,67.0
0,6,19,1,9,1,0.98,125.0,0.0,2.0,71.0
0,6,20,1,9,1,0.98,130.0,0.0,2.0,66.0
0,6,21,1,9,1,0.975,138.0,2.0,1.0,57.0
0,6,22,1,9,1,0.98,141.0,1.0,1.0,55.0
0,6,23,1,9,1,0.98,137.0,0.0,2.0,59.0
0,6,24,1,9,1,0.975,146.0,2.0,1.0,49.0
0,7,0,1,10,1,0.985,89.0,0.0,1.0,108.0
0,7,1,1,10,1,0.98,107.0,2.0,0.0,89.0
0,7,2,1,10,1,0.98,91.0,1.0,1.0,105.0
0,7,3,1,10,1,0.98,98.0,0.0,2.0,98.0
0,7,4,1,10,1,0.985,96.0,1.0,0.0,101.0
0,7,5,1,10,1,0.98,99.0,0.0,2.0,97.0
0,7,6,1,10,1,0.985,103.0,1.0,0.0,94.0
0,7,7,1,10,1,0.975,92.0,2.0,1.0,103.0
0,7,8,1,10,1,0.985,94.0,0.0,1.0,103.0
0,7,9,1,10,1,0.985,88.0,1.0,0.0,109.0
0,7,10,1,10,1,0.98,102.0,0.0,2.0,94.0
0,7,11,1,10,1,0.98,99.0,2.0,0.0,97.0
0,7,12,1,10,1,0.985,90.0,1.0,0.0,107.0
0,7,13,1,10,1,0.98,100.0,1.0,1.0,96.0
0,7,14,1,10,1,0.98,94.0,2.0,0.0,102.0
0,7,15,1,10,1,0.98,95.0,1.0,1.0,101.0
0,7,16,1,10,1,0.965,95.0,1.0,4.0,98.0
0,7,17,1,10,1,0.98,90.0,0.0,2.0,106.0
0,7,18,1,10,1,0.985,83.0,1.0,0.0,114.0
0,7,19,1,10,1,0.975,89.0,0.0,3.0,106.0
0,7,20,1,10,1,0.97,106.0,1.0,3.0,88.0
0,7,21,1,10,1,0.985,93.0,0.0,1.0,104.0
0,7,22,1,10,1,0.985,89.0,1.0,0.0,108.0
0,7,23,1,10,1,0.99,93.0,0.0,0.0,105.0
0,7,24,1,10,1,0.985,94.0,0.0,1.0,103.0
0,8,0,1,11,1,0.98,162.0,0.0,2.0,34.0
0,8,1,1,11,1,0.98,171.0,0.0,2.0,25.0
0,8,2,1,11,1,0.985,172.0,0.0,1.0,25.0
0,8,3,1,11,1,0.985,166.0,0.0,1.0,31.0
0,8,4,1,11,1,0.985,172.0,0.0,1.0,25.0
0,8,5,1,11,1,0.985,167.0,0.0,1.0,30.0
0,8,6,1,11,1,0.97,168.0,3.0,1.0,26.0
0,8,7,1,11,1,0.98,168.0,0.0,2.0,28.0
0,8,8,1,11,1,0.985,161.0,0.0,1.0,36.0
0,8,9,1,11,1,0.985,163.0,0.0,1.0,34.0
0,8,10,1,11,1,0.98,167.0,1.0,1.0,29.0
0,8,11,1,11,1,0.98,167.0,2.0,0.0,29.0
0,8,12,1,11,1,0.975,165.0,2.0,1.0,30.0
0,8,13,1,11,1,0.98,156.0,1.0,1.0,40.0
0,8,14,1,11,1,0.985,173.0,0.0,1.0,24.0
0,8,15,1,11,1,0.985,161.0,0.0,1.0,36.0
0,8,16,1,11,1,0.985,164.0,0.0,1.0,33.0
0,8,17,1,11,1,0.98,159.0,2.0,0.0,37.0
0,8,18,1,11,1,0.98,170.0,0.0,2.0,26.0
0,8,19,1,11,1,0.98,167.0,2.0,0.0,29.0
0,8,20,1,11,1,0.985,166.0,0.0,1.0,31.0
0,8,21,1,11,1,0.98,162.0,1.0,1.0,34.0
0,8,22,1,11,1,0.97,168.0,3.0,1.0,26.0
0,8,23,1,11,1,0.985,169.0,0.0,1.0,28.0
0,8,24,1,11,1,0.985,163.0,0.0,1.0,34.0
0,9,0,1,12,1,0.985,40.0,1.0,0.0,157.0
0,9,1,1,12,1,0.98,33.0,2.0,0.0,163.0
0,9,2,1,12,1,0.985,39.0,1.0,0.0,158.0
0,9,3,1,12,1,0.985,31.0,1.0,0.0,166.0
0,9,4,1,12,1,0.985,35.0,0.0,1.0,162.0
0,9,5,1,12,1,0.975,27.0,0.0,3.0,168.0
0,9,6,1,12,1,0.985,25.0,1.0,0.0,172.0
0,9,7,1,12,1,0.98,29.0,1.0,1.0,167.0
0,9,8,1,12,1,0.985,23.0,1.0,0.0,174.0
0,9,9,1,12,1,0.98,38.0,1.0,1.0,158.0
0,9,10,1,12,1,0.985,31.0,1.0,0.0,166.0
0,9,11,1,12,1,0.985,33.0,1.0,0.0,164.0
0,9,12,1,12,1,0.985,31.0,1.0,0.0,166.0
0,9,13,1,12,1,0.985,30.0,1.0,0.0,167.0
0,9,14,1,12,1,0.985,33.0,1.0,0.0,164.0
0,9,15,1,12,1,0.985,21.0,1.0,0.0,176.0
0,9,16,1,12,1,0.985,23.0,1.0,0.0,174.0
0,9,17,1,12,1,0.98,29.0,1.0,1.0,167.0
0,9,18,1,12,1,0.985,36.0,1.0,0.0,161.0
0,9,19,1,12,1,0.985,38.0,0.0,1.0,159.0
0,9,20,1,12,1,0.98,34.0,0.0,2.0,162.0
0,9,21,1,12,1,0.985,29.0,1.0,0.0,168.0
0,9,22,1,12,1,0.98,28.0,2.0,0.0,168.0
0,9,23,1,12,1,0.985,33.0,1.0,0.0,164.0
0,9,24,1,12,1,0.985,24.0,1.0,0.0,173.0
0,10,0,1,13,1,0.985,59.0,0.0,1.0,138.0
0,10,1,1,13,1,0.975,55.0,1.0,2.0,140.0
0,10,2,1,13,1,0.98,50.0,2.0,0.0,146.0
0,10,3,1,13,1,0.98,59.0,0.0,2.0,137.0
0,10,4,1,13,1,0.975,64.0,3.0,0.0,131.0
0,10,5,1,13,1,0.975,55.0,1.0,2.0,140.0
0,10,6,1,13,1,0.99,59.0,0.0,0.0,139.0
0,10,7,1,13,1,0.985,53.0,0.0,1.0,144.0
0,10,8,1,13,1,0.97,62.0,1.0,3.0,132.0
0,10,9,1,13,1,0.975,66.0,3.0,0.0,129.0
0,10,10,1,13,1,0.985,49.0,0.0,1.0,148.0
