type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,8,5,1,11,1,0.94,31.0,9.0,2.0,157.0,3.3915467262268066
0,8,6,1,11,1,0.95,26.0,7.0,2.0,164.0,5.248324632644653
0,8,7,1,11,1,0.94,26.0,10.0,1.0,162.0,2.731623888015747
0,8,8,1,11,1,0.95,22.0,9.0,0.0,168.0,2.4395506381988525
0,8,9,1,11,1,0.94,17.0,7.0,4.0,171.0,3.154735565185547
0,8,10,1,11,1,0.965,17.0,5.0,1.0,176.0,2.857175827026367
0,8,11,1,11,1,0.94,29.0,9.0,2.0,159.0,3.026505708694458
0,8,12,1,11,1,0.94,26.0,11.0,0.0,162.0,2.604140281677246
0,8,13,1,11,1,0.93,31.0,12.0,1.0,155.0,2.870136260986328
0,8,14,1,11,1,0.95,20.0,6.0,3.0,170.0,3.528280735015869
0,8,15,1,11,1,0.945,33.0,8.0,2.0,156.0,3.5560014247894287
0,8,16,1,11,1,0.95,25.0,8.0,1.0,165.0,2.945835590362549
0,8,17,1,11,1,0.955,20.0,8.0,0.0,171.0,2.5876007080078125
0,8,18,1,11,1,0.915,22.0,14.0,2.0,161.0,3.4674549102783203
0,8,19,1,11,1,0.965,30.0,6.0,0.0,163.0,3.3096046447753906
0,8,20,1,11,1,0.955,27.0,8.0,0.0,164.0,2.7609853744506836
0,8,21,1,11,1,0.95,31.0,9.0,0.0,159.0,2.698312997817993
0,8,22,1,11,1,0.93,19.0,9.0,4.0,167.0,2.9402763843536377
0,8,23,1,11,1,0.94,23.0,10.0,1.0,165.0,3.492204189300537
0,8,24,1,11,1,0.96,25.0,6.0,1.0,167.0,2.321009874343872
0,9,0,1,12,1,0.92,44.0,11.0,4.0,140.0,4.322873830795288
0,9,1,1,12,1,0.94,37.0,11.0,0.0,151.0,2.734945058822632
0,9,2,1,12,1,0.915,40.0,14.0,2.0,143.0,3.1604435443878174
0,9,3,1,12,1,0.95,34.0,6.0,3.0,156.0,3.663090705871582
0,9,4,1,12,1,0.92,42.0,14.0,1.0,142.0,3.1126739978790283
0,9,5,1,12,1,0.915,36.0,13.0,3.0,147.0,3.507732629776001
0,9,6,1,12,1,0.94,44.0,10.0,1.0,144.0,3.0918378829956055
0,9,7,1,12,1,0.935,39.0,8.0,4.0,148.0,3.690643072128296
0,9,8,1,12,1,0.93,43.0,11.0,2.0,143.0,3.3975093364715576
0,9,9,1,12,1,0.93,32.0,13.0,0.0,154.0,2.8137786388397217
0,9,10,1,12,1,0.9,47.0,17.0,2.0,133.0,4.08470344543457
0,9,11,1,12,1,0.92,34.0,14.0,1.0,150.0,3.7649245262145996
0,9,12,1,12,1,0.93,45.0,10.0,3.0,141.0,3.186598777770996
0,9,13,1,12,1,0.925,41.0,6.0,8.0,144.0,3.1919360160827637
0,9,14,1,12,1,0.905,45.0,17.0,1.0,136.0,4.765688419342041
0,9,15,1,12,1,0.94,46.0,7.0,4.0,142.0,3.2430315017700195
0,9,16,1,12,1,0.93,37.0,9.0,4.0,149.0,3.4361813068389893
0,9,17,1,12,1,0.9,41.0,14.0,5.0,139.0,3.6300666332244873
0,9,18,1,12,1,0.93,37.0,13.0,0.0,149.0,3.245457649230957
0,9,19,1,12,1,0.96,45.0,6.0,1.0,147.0,3.6514103412628174
0,9,20,1,12,1,0.92,32.0,12.0,3.0,152.0,2.9022209644317627
0,9,21,1,12,1,0.905,35.0,15.0,3.0,146.0,3.4953410625457764
0,9,22,1,12,1,0.93,34.0,11.0,2.0,152.0,2.992898464202881
0,9,23,1,12,1,0.92,37.0,15.0,0.0,147.0,3.0438735485076904
0,9,24,1,12,1,0.915,44.0,13.0,3.0,139.0,2.7787623405456543
0,10,0,1,13,1,0.91,64.0,14.0,3.0,118.0,2.740232229232788
0,10,1,1,13,1,0.895,73.0,16.0,4.0,106.0,3.2902274131774902
0,10,2,1,13,1,0.92,75.0,12.0,3.0,109.0,2.7263920307159424
0,10,3,1,13,1,0.93,66.0,9.0,4.0,120.0,3.5546538829803467
0,10,4,1,13,1,0.915,65.0,13.0,3.0,118.0,2.653794288635254
0,10,5,1,13,1,0.92,58.0,15.0,0.0,126.0,2.9221816062927246
0,10,6,1,13,1,0.89,58.0,17.0,4.0,120.0,2.797366142272949
0,10,7,1,13,1,0.935,61.0,9.0,3.0,126.0,2.4992825984954834
0,10,8,1,13,1,0.895,63.0,14.0,6.0,116.0,3.590726852416992
0,10,9,1,13,1,0.91,65.0,15.0,2.0,117.0,3.0206427574157715
0,10,10,1,13,1,0.89,70.0,17.0,4.0,108.0,3.108464479446411
0,10,11,1,13,1,0.905,74.0,17.0,1.0,107.0,2.727144241333008
0,10,12,1,13,1,0.91,71.0,13.0,4.0,111.0,2.9930806159973145
0,10,13,1,13,1,0.9,62.0,14.0,5.0,118.0,2.6839797496795654
0,10,14,1,13,1,0.915,77.0,15.0,1.0,106.0,3.1616013050079346
0,10,15,1,13,1,0.88,70.0,16.0,7.0,106.0,3.355464458465576
0,10,16,1,13,1,0.895,76.0,14.0,6.0,103.0,2.9050824642181396
0,10,17,1,13,1,0.91,62.0,15.0,2.0,120.0,2.6879775524139404
0,10,18,1,13,1,0.9,71.0,16.0,3.0,109.0,3.116847038269043
0,10,19,1,13,1,0.945,67.0,8.0,2.0,122.0,3.129291296005249
