type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative,runtime
0,5,12,1,8,1,0.99,58.0,1.0,0.0,140.0,0.15546917915344238
0,5,13,1,8,1,0.985,60.0,1.0,1.0,137.0,0.1414942741394043
0,5,14,1,8,1,0.985,58.0,2.0,0.0,139.0,0.15048527717590332
0,5,15,1,8,1,0.99,61.0,1.0,0.0,137.0,0.1495962142944336
0,5,16,1,8,1,0.99,51.0,1.0,0.0,147.0,0.1525726318359375
0,5,17,1,8,1,0.99,49.0,1.0,0.0,149.0,0.14523816108703613
0,5,18,1,8,1,0.985,61.0,2.0,0.0,136.0,0.14492201805114746
0,5,19,1,8,1,0.985,55.0,2.0,0.0,142.0,0.14915728569030762
0,5,20,1,8,1,0.99,62.0,1.0,0.0,136.0,0.1459519863128662
0,5,21,1,8,1,0.985,40.0,2.0,0.0,157.0,0.15299272537231445
0,5,22,1,8,1,0.99,62.0,0.0,1.0,136.0,0.14237213134765625
0,5,23,1,8,1,0.99,61.0,1.0,0.0,137.0,0.1663978099822998
0,5,24,1,8,1,0.985,49.0,1.0,1.0,148.0,0.149367094039917
0,6,0,1,9,1,0.985,62.0,2.0,0.0,135.0,0.13681316375732422
0,6,1,1,9,1,0.99,56.0,0.0,1.0,142.0,0.15302658081054688
0,6,2,1,9,1,0.985,60.0,2.0,0.0,137.0,0.14146852493286133
0,6,3,1,9,1,0.985,58.0,1.0,1.0,139.0,0.15603899955749512
0,6,4,1,9,1,0.99,51.0,1.0,0.0,147.0,0.14879894256591797
0,6,5,1,9,1,0.99,52.0,1.0,0.0,146.0,0.1484365463256836
0,6,6,1,9,1,0.99,65.0,1.0,0.0,133.0,0.17608284950256348
0,6,7,1,9,1,0.99,59.0,1.0,0.0,139.0,0.14400792121887207
0,6,8,1,9,1,0.99,55.0,1.0,0.0,143.0,0.14179468154907227
0,6,9,1,9,1,0.99,49.0,0.0,1.0,149.0,0.14257454872131348
0,6,10,1,9,1,0.99,55.0,1.0,0.0,143.0,0.15538311004638672
0,6,11,1,9,1,0.99,51.0,0.0,1.0,147.0,0.13420820236206055
0,6,12,1,9,1,0.99,53.0,1.0,0.0,145.0,0.17870473861694336
0,6,13,1,9,1,0.99,57.0,1.0,0.0,141.0,0.14564728736877441
0,6,14,1,9,1,0.98,56.0,1.0,2.0,140.0,0.14462566375732422
0,6,15,1,9,1,0.985,61.0,2.0,0.0,136.0,0.15002822875976562
0,6,16,1,9,1,0.985,56.0,2.0,0.0,141.0,0.18551206588745117
0,6,17,1,9,1,0.985,59.0,2.0,0.0,138.0,0.13821029663085938
0,6,18,1,9,1,0.985,67.0,1.0,1.0,130.0,0.14536094665527344
0,6,19,1,9,1,0.985,66.0,2.0,0.0,131.0,0.14803552627563477
0,6,20,1,9,1,0.99,48.0,1.0,0.0,150.0,0.1520240306854248
0,6,21,1,9,1,0.985,56.0,0.0,2.0,141.0,0.1495366096496582
0,6,22,1,9,1,0.99,52.0,0.0,1.0,146.0,0.15242481231689453
0,6,23,1,9,1,0.99,63.0,0.0,1.0,135.0,0.14300084114074707
0,6,24,1,9,1,0.985,63.0,2.0,0.0,134.0,0.14783024787902832
0,7,0,1,10,1,0.995,0.0,0.0,0.0,199.0,0.15093111991882324
0,7,1,1,10,1,0.995,0.0,0.0,0.0,199.0,0.14533710479736328
0,7,2,1,10,1,0.99,0.0,1.0,0.0,198.0,0.15854835510253906
0,7,3,1,10,1,0.99,1.0,1.0,0.0,197.0,0.14613556861877441
0,7,4,1,10,1,0.995,0.0,0.0,0.0,199.0,0.1456615924835205
0,7,5,1,10,1,0.995,0.0,0.0,0.0,199.0,0.1495809555053711
0,7,6,1,10,1,0.995,0.0,0.0,0.0,199.0,0.14809083938598633
0,7,7,1,10,1,0.995,0.0,0.0,0.0,199.0,0.15695619583129883
0,7,8,1,10,1,0.995,0.0,0.0,0.0,199.0,0.14286494255065918
0,7,9,1,10,1,0.99,0.0,1.0,0.0,198.0,0.15099167823791504
0,7,10,1,10,1,0.99,0.0,1.0,0.0,198.0,0.14943170547485352
0,7,11,1,10,1,0.995,0.0,0.0,0.0,199.0,0.1404094696044922
0,7,12,1,10,1,0.99,0.0,1.0,0.0,198.0,0.15333199501037598
0,7,13,1,10,1,0.99,1.0,1.0,0.0,197.0,0.15531539916992188
0,7,14,1,10,1,0.995,0.0,0.0,0.0,199.0,0.15041685104370117
0,7,15,1,10,1,0.995,0.0,0.0,0.0,199.0,0.14044952392578125
0,7,16,1,10,1,0.995,0.0,0.0,0.0,199.0,0.13783979415893555
0,7,17,1,10,1,0.99,0.0,1.0,0.0,198.0,0.14249324798583984
0,7,18,1,10,1,0.99,0.0,1.0,0.0,198.0,0.14226627349853516
0,7,19,1,10,1,0.99,1.0,1.0,0.0,197.0,0.15201377868652344
0,7,20,1,10,1,0.99,0.0,1.0,0.0,198.0,0.13893723487854004
0,7,21,1,10,1,0.995,0.0,0.0,0.0,199.0,0.16699647903442383
0,7,22,1,10,1,0.99,0.0,1.0,0.0,198.0,0.14381766319274902
0,7,23,1,10,1,0.995,0.0,0.0,0.0,199.0,0.14944005012512207
0,7,24,1,10,1,0.995,0.0,0.0,0.0,199.0,0.14388823509216309
0,8,0,1,11,1,0.99,3.0,1.0,0.0,195.0,0.15775084495544434
0,8,1,1,11,1,0.99,3.0,1.0,0.0,195.0,0.1539781093597412
0,8,2,1,11,1,0.99,5.0,1.0,0.0,193.0,0.2169654369354248
0,8,3,1,11,1,0.99,2.0,1.0,0.0,196.0,0.1560373306274414
