type,combination,iteration,totalDependencies,totalNodes,decisionDependencies,accuracy,truePositive,falseNegative,falsePositive,trueNegative
0,6,24,1,9,1,0.98,74.0,2.0,0.0,122.0
0,7,0,1,10,1,0.985,26.0,1.0,0.0,171.0
0,7,1,1,10,1,0.98,31.0,2.0,0.0,165.0
0,7,2,1,10,1,0.97,29.0,0.0,4.0,165.0
0,7,3,1,10,1,0.985,21.0,1.0,0.0,176.0
0,7,4,1,10,1,0.985,32.0,1.0,0.0,165.0
0,7,5,1,10,1,0.98,26.0,1.0,1.0,170.0
0,7,6,1,10,1,0.985,24.0,1.0,0.0,173.0
0,7,7,1,10,1,0.985,32.0,1.0,0.0,165.0
0,7,8,1,10,1,0.98,26.0,0.0,2.0,170.0
0,7,9,1,10,1,0.98,32.0,1.0,1.0,164.0
0,7,10,1,10,1,0.975,25.0,2.0,1.0,170.0
0,7,11,1,10,1,0.98,30.0,1.0,1.0,166.0
0,7,12,1,10,1,0.985,29.0,1.0,0.0,168.0
0,7,13,1,10,1,0.975,26.0,1.0,2.0,169.0
0,7,14,1,10,1,0.985,24.0,0.0,1.0,173.0
0,7,15,1,10,1,0.98,28.0,2.0,0.0,168.0
0,7,16,1,10,1,0.99,30.0,0.0,0.0,168.0
0,7,17,1,10,1,0.98,33.0,2.0,0.0,163.0
0,7,18,1,10,1,0.98,23.0,1.0,1.0,173.0
0,7,19,1,10,1,0.99,26.0,0.0,0.0,172.0
0,7,20,1,10,1,0.985,26.0,1.0,0.0,171.0
0,7,21,1,10,1,0.985,22.0,1.0,0.0,175.0
0,7,22,1,10,1,0.98,23.0,1.0,1.0,173.0
0,7,23,1,10,1,0.98,21.0,1.0,1.0,175.0
0,7,24,1,10,1,0.985,32.0,1.0,0.0,165.0
0,8,0,1,11,1,0.985,11.0,1.0,0.0,186.0
0,8,1,1,11,1,0.98,11.0,2.0,0.0,185.0
0,8,2,1,11,1,0.985,9.0,1.0,0.0,188.0
0,8,3,1,11,1,0.985,12.0,1.0,0.0,185.0
0,8,4,1,11,1,0.985,5.0,1.0,0.0,192.0
0,8,5,1,11,1,0.985,11.0,1.0,0.0,186.0
0,8,6,1,11,1,0.985,11.0,1.0,0.0,186.0
0,8,7,1,11,1,0.985,3.0,1.0,0.0,194.0
0,8,8,1,11,1,0.98,11.0,1.0,1.0,185.0
0,8,9,1,11,1,0.985,10.0,1.0,0.0,187.0
0,8,10,1,11,1,0.98,10.0,1.0,1.0,186.0
0,8,11,1,11,1,0.98,12.0,1.0,1.0,184.0
0,8,12,1,11,1,0.985,6.0,1.0,0.0,191.0
0,8,13,1,11,1,0.985,6.0,1.0,0.0,191.0
0,8,14,1,11,1,0.985,13.0,1.0,0.0,184.0
0,8,15,1,11,1,0.975,13.0,2.0,1.0,182.0
0,8,16,1,11,1,0.985,14.0,1.0,0.0,183.0
0,8,17,1,11,1,0.985,6.0,1.0,0.0,191.0
0,8,18,1,11,1,0.985,12.0,1.0,0.0,185.0
0,8,19,1,11,1,0.985,13.0,1.0,0.0,184.0
0,8,20,1,11,1,0.985,9.0,1.0,0.0,188.0
0,8,21,1,11,1,0.985,14.0,1.0,0.0,183.0
0,8,22,1,11,1,0.985,12.0,1.0,0.0,185.0
0,8,23,1,11,1,0.985,18.0,1.0,0.0,179.0
0,8,24,1,11,1,0.985,9.0,1.0,0.0,188.0
0,9,0,1,12,1,0.97,115.0,2.0,2.0,79.0
0,9,1,1,12,1,0.975,117.0,0.0,3.0,78.0
0,9,2,1,12,1,0.975,127.0,1.0,2.0,68.0
0,9,3,1,12,1,0.99,121.0,0.0,0.0,77.0
0,9,4,1,12,1,0.97,120.0,3.0,1.0,74.0
0,9,5,1,12,1,0.98,111.0,1.0,1.0,85.0
0,9,6,1,12,1,0.98,116.0,2.0,0.0,80.0
0,9,7,1,12,1,0.98,113.0,0.0,2.0,83.0
0,9,8,1,12,1,0.98,116.0,0.0,2.0,80.0
0,9,9,1,12,1,0.98,98.0,0.0,2.0,98.0
0,9,10,1,12,1,0.98,124.0,1.0,1.0,72.0
0,9,11,1,12,1,0.98,108.0,2.0,0.0,88.0
0,9,12,1,12,1,0.975,88.0,1.0,2.0,107.0
0,9,13,1,12,1,0.975,124.0,0.0,3.0,71.0
0,9,14,1,12,1,0.98,120.0,2.0,0.0,76.0
0,9,15,1,12,1,0.98,120.0,2.0,0.0,76.0
0,9,16,1,12,1,0.98,122.0,0.0,2.0,74.0
0,9,17,1,12,1,0.975,112.0,1.0,2.0,83.0
0,9,18,1,12,1,0.985,123.0,1.0,0.0,74.0
0,9,19,1,12,1,0.975,111.0,2.0,1.0,84.0
0,9,20,1,12,1,0.975,123.0,2.0,1.0,72.0
0,9,21,1,12,1,0.975,123.0,3.0,0.0,72.0
0,9,22,1,12,1,0.98,107.0,1.0,1.0,89.0
0,9,23,1,12,1,0.97,110.0,4.0,0.0,84.0
0,9,24,1,12,1,0.975,126.0,3.0,0.0,69.0
0,10,0,1,13,1,0.985,49.0,1.0,0.0,148.0
0,10,1,1,13,1,0.985,42.0,0.0,1.0,155.0
0,10,2,1,13,1,0.985,41.0,1.0,0.0,156.0
0,10,3,1,13,1,0.98,34.0,2.0,0.0,162.0
0,10,4,1,13,1,0.985,45.0,1.0,0.0,152.0
0,10,5,1,13,1,0.98,46.0,2.0,0.0,150.0
0,10,6,1,13,1,0.985,36.0,0.0,1.0,161.0
0,10,7,1,13,1,0.985,30.0,1.0,0.0,167.0
0,10,8,1,13,1,0.98,45.0,2.0,0.0,151.0
0,10,9,1,13,1,0.985,45.0,1.0,0.0,152.0
0,10,10,1,13,1,0.98,44.0,2.0,0.0,152.0
0,10,11,1,13,1,0.98,47.0,1.0,1.0,149.0
0,10,12,1,13,1,0.975,39.0,2.0,1.0,156.0
0,10,13,1,13,1,0.975,39.0,1.0,2.0,156.0
0,10,14,1,13,1,0.985,43.0,1.0,0.0,154.0
0,10,15,1,13,1,0.985,41.0,1.0,0.0,156.0
0,10,16,1,13,1,0.985,37.0,1.0,0.0,160.0
0,10,17,1,13,1,0.98,41.0,1.0,1.0,155.0
0,10,18,1,13,1,0.97,39.0,2.0,2.0,155.0
0,10,19,1,13,1,0.98,43.0,2.0,0.0,153.0
0,10,20,1,13,1,0.99,49.0,0.0,0.0,149.0
0,10,21,1,13,1,0.98,38.0,2.0,0.0,158.0
0,10,22,1,13,1,0.985,40.0,1.0,0.0,157.0
0,10,23,1,13,1,0.975,45.0,2.0,1.0,150.0
0,10,24,1,13,1,0.98,40.0,2.0,0.0,156.0
0,11,0,1,14,1,0.985,17.0,1.0,0.0,180.0
0,11,1,1,14,1,0.985,12.0,1.0,0.0,185.0
0,11,2,1,14,1,0.985,11.0,1.0,0.0,186.0
0,11,3,1,14,1,0.98,12.0,1.0,1.0,184.0
0,11,4,1,14,1,0.98,20.0,1.0,1.0,176.0
